Survival,wtd114,pop_den,Sex,Age,Yr,ID
1,NA,34,Female,8,1979,03cd6669c2cf167ca8329e3497251d61ae3548b87b3caa655c219129b9ebbfdc
1,70.50474989,33,Female,9,1980,03cd6669c2cf167ca8329e3497251d61ae3548b87b3caa655c219129b9ebbfdc
0,NA,31,Female,10,1981,03cd6669c2cf167ca8329e3497251d61ae3548b87b3caa655c219129b9ebbfdc
1,71.10218793,34,Female,4,1979,53a86af160b215a3ce9db2db31ee3e9f5bfdc3b9aace6ae445fbed8320d1f5d7
NA,70.4083395,33,Female,5,1980,53a86af160b215a3ce9db2db31ee3e9f5bfdc3b9aace6ae445fbed8320d1f5d7
NA,NA,34,Male,9,1979,eb6379b2b03ff2c4d991de29bcaac77708b6180b9c6959a13598fde9ce29d099
1,65.26286746,34,Female,2,1979,37fae6366d0593fcd979f18eba6075c0478f8c89a71ce54f928e2dd24e0ff17f
NA,64.64608004,33,Female,3,1980,37fae6366d0593fcd979f18eba6075c0478f8c89a71ce54f928e2dd24e0ff17f
1,57.28706284,34,Male,1,1979,d0dd75c352d59929cb97a3ff1f2687be5cd79a3b8b8753a4ebd7d33429fb9f9c
1,77.594647,33,Male,2,1980,d0dd75c352d59929cb97a3ff1f2687be5cd79a3b8b8753a4ebd7d33429fb9f9c
0,NA,31,Male,3,1981,d0dd75c352d59929cb97a3ff1f2687be5cd79a3b8b8753a4ebd7d33429fb9f9c
1,NA,34,Male,0,1979,b01f73e4005a1d7a2bd68e24cefa996491c0690a9568d63eb8f5450bfff94b17
1,59.85636376,33,Male,1,1980,b01f73e4005a1d7a2bd68e24cefa996491c0690a9568d63eb8f5450bfff94b17
1,83.3885977,31,Male,2,1981,b01f73e4005a1d7a2bd68e24cefa996491c0690a9568d63eb8f5450bfff94b17
1,98.89147903,36,Male,3,1982,b01f73e4005a1d7a2bd68e24cefa996491c0690a9568d63eb8f5450bfff94b17
1,113.5843687,38,Male,4,1983,b01f73e4005a1d7a2bd68e24cefa996491c0690a9568d63eb8f5450bfff94b17
1,132.4866444,47,Male,5,1984,b01f73e4005a1d7a2bd68e24cefa996491c0690a9568d63eb8f5450bfff94b17
NA,NA,51,Male,6,1985,b01f73e4005a1d7a2bd68e24cefa996491c0690a9568d63eb8f5450bfff94b17
1,NA,33,Male,0,1980,0da7883a44a3de97134015120b541c1b12f6ffc313c9dbd95e9edb12551a5e2f
0,54.12376372,31,Male,1,1981,0da7883a44a3de97134015120b541c1b12f6ffc313c9dbd95e9edb12551a5e2f
1,NA,31,Female,0,1981,0273593924cddd99d1281333a9f65cb3b7f1fec16ab9452ca881509da02a17cb
1,48.52202492,36,Female,1,1982,0273593924cddd99d1281333a9f65cb3b7f1fec16ab9452ca881509da02a17cb
1,62.74134277,38,Female,2,1983,0273593924cddd99d1281333a9f65cb3b7f1fec16ab9452ca881509da02a17cb
1,67.69779234,47,Female,3,1984,0273593924cddd99d1281333a9f65cb3b7f1fec16ab9452ca881509da02a17cb
1,69.80068318,51,Female,4,1985,0273593924cddd99d1281333a9f65cb3b7f1fec16ab9452ca881509da02a17cb
1,67.33714035,58,Female,5,1986,0273593924cddd99d1281333a9f65cb3b7f1fec16ab9452ca881509da02a17cb
1,70.90514174,61,Female,6,1987,0273593924cddd99d1281333a9f65cb3b7f1fec16ab9452ca881509da02a17cb
