"season","days_count","days_gt_10","days_gt_20","days_gt_30","days_gt_40","days_gt_50","days_gt_60","days_gt_70","days_gt_80","days_gt_90","days_gt_100","avg_snow_depth","max_snow_depth","median_snow_depth","avg_SWE","max_SWE","median_SWE","avg_density","max_density","median_density","Yr","JJ_end","JJ_start"
"1979-1980",192,151,132,115,65,58,47,35,12,0,0,36.5207730412138,87.3175,31.7985416666667,76.4850585289289,193.09258,66.440809375,184.985265726839,488.911794538698,199.744247196462,1979,116,290
"1980-1981",251,177,146,134,77,22,5,0,0,0,0,26.0003842600612,63.80375,32.3820833333333,68.4462720228506,177.210403333333,78.3754625,208.013484508916,383.406097594809,248.881265297432,1980,141,257
"1981-1982",234,116,107,85,61,52,20,3,0,0,0,23.0483243527809,73.175,9.58583333333334,50.0915373819367,160.708284166667,16.21863375,172.201890220188,368.068437929896,192.348334518209,1981,134,266
"1982-1983",252,166,94,61,45,26,5,0,0,0,0,20.3002273119393,62.9558333333333,16.4183333333334,42.2104485914136,157.25632875,29.1337460416666,171.401465124884,653.364442660223,185.271831847602,1982,141,255
"1983-1984",255,169,148,140,118,92,49,11,1,0,0,32.8946896845695,81.5683333333333,33.7316666666667,65.9068889507673,177.18853625,49.2273095833333,178.809734780134,348.142983754878,190.447579959288,1983,140,251
"1984-1985",237,201,196,172,137,91,48,0,0,0,0,40.4984485262643,69.9770833333333,44.5470833333333,91.1812512198067,166.692274583333,89.810705,200.26547886681,394.161458393746,221.125313608459,1984,124,254
"1985-1986",262,203,171,138,50,37,11,2,0,0,0,28.2482008518641,70.51375,30.8604166666667,70.9861192951377,164.494428333333,76.7789952083334,233.159936341981,423.354290086899,245.08901070603,1985,145,249
"1986-1987",229,164,122,45,20,2,0,0,0,0,0,19.9828111353712,53.8404166666667,21.3654166666667,45.8789863991994,128.21630875,45.0975904166667,192.701374883892,359.919504539816,216.071054922291,1986,117,254
"1987-1988",198,155,103,40,29,17,0,0,0,0,0,21.7789417728005,59.8520833333333,20.371875,46.195111584962,141.630895833333,39.4106279166667,183.000338429127,350.507354586687,199.067697618066,1987,130,298
"1988-1989",232,165,130,109,76,57,39,3,0,0,0,29.0795243784358,78.7179166666667,25.8325,59.561688031375,174.650984166667,47.7059991666667,170.645092253177,361.91603376803,189.056605092345,1988,125,260
"1989-1990",268,189,170,143,123,106,61,23,2,0,0,34.4547456332468,82.6120833333333,32.17875,80.2009523249919,187.957334583333,67.4544458333333,187.767722177661,374.908114423377,212.069558812571,1989,143,241
"1990-1991",224,179,159,146,122,66,35,25,4,0,0,37.3521726190476,87.4933333333333,44.7254166666666,83.2556956640625,184.4332525,95.947996875,201.143939746707,376.148186266948,205.447455668301,1990,133,275
"1991-1992",196,176,170,158,132,79,28,0,0,0,0,42.3575695984916,69.13375,45.5210416666666,98.2809861985174,158.33765625,104.578515833333,219.736004717959,339.454276172077,229.486736745838,1991,119,289
"1992-1993",260,201,184,165,137,100,39,13,2,0,0,36.2568534698997,81.9520833333333,44.8304166666667,93.627802590092,275.1711325,97.2789547916667,205.841757622135,709.744350964126,207.02274045605,1992,128,235
"1993-1994",237,174,155,151,133,100,87,73,46,14,0,43.9569312970097,99.1495833333333,45.3279166666667,96.760024770455,222.868788333333,94.9198679166667,191.42202675441,384.362652534427,202.637470833184,1993,127,256
"1994-1995",227,186,132,61,7,0,0,0,0,0,0,21.4875083796208,43.6970833333333,21.4758333333333,62.1217245697663,200.842761666667,55.3828566666667,249.781170512872,646.34748089594,255.983101545622,1994,133,272
"1995-1996",229,206,185,165,153,137,121,95,48,14,7,54.3214909657617,108.627916666667,63.6525,132.082073004636,269.423845833333,144.655453333333,226.67214532536,382.731164766082,239.768390642893,1995,139,276
"1996-1997",232,193,182,168,164,130,100,86,59,19,9,52.4384877873563,109.427916666667,55.0016666666667,132.479779628233,264.051533333333,135.503387916667,217.286076625716,385.07933844711,234.106972732639,1996,130,265
"1997-1998",226,133,107,92,49,41,33,10,0,0,0,25.3977848050532,78.4683333333333,16.3920833333333,53.9602403737816,188.90361875,30.0679716666667,196.882949324027,371.54093069498,192.906185139518,1997,117,257
"1998-1999",227,175,163,121,116,105,25,0,0,0,0,35.8840912500798,66.7170833333333,42.51625,81.1690531477846,166.867550416667,84.1386158333333,202.947736043905,345.260491591203,208.377746226365,1998,143,282
"1999-2000",310,202,164,102,73,51,20,4,0,0,0,23.5211709911174,75.1816666666667,23.284375,54.9465370496727,208.234412916667,46.6557972916667,170.220583373711,375.195300638823,211.688591790267,1999,140,196
"2000-2001",232,174,147,99,70,36,23,20,4,0,0,28.8170941091954,83.5683333333333,26.258125,68.5821786242816,211.2331975,65.234120625,187.814647253008,714.173534717115,214.047294041488,2000,129,264
"2001-2002",230,199,171,126,109,80,59,42,32,4,0,40.0813801984877,90.7883333333333,37.199375,91.9441055037807,219.351729166667,66.7352054166667,209.001116074026,505.330421465167,194.004161909504,2001,148,284
"2002-2003",260,212,190,166,138,116,89,63,47,28,9,45.2350960841695,110.97625,41.3570833333333,110.463336107581,280.972260833333,95.50903375,209.34916218029,415.232629432004,222.129236009562,2002,142,248
"2003-2004",228,170,157,142,80,66,62,17,2,0,0,34.3848700896262,81.1645833333333,32.405625,74.3433716915364,172.14029625,71.45975625,182.234022607856,328.304902260436,209.838558796901,2003,121,259
"2004-2005",209,189,165,133,107,91,72,27,11,1,0,42.0236252687054,90.3233333333333,42.49875,105.711433719056,223.404990833333,106.10746125,233.3328564056,462.071338997549,238.212393949091,2004,132,290
"2005-2006",240,160,136,93,47,39,8,0,0,0,0,23.9178454861111,65.6516666666667,21.6375,51.8568212083334,151.142335,40.439080625,182.875811026065,350.824824264735,198.277451713778,2005,127,253
"2006-2007",239,213,198,188,163,148,106,72,51,6,0,52.2772290946577,97.3,56.0366666666667,135.568638480307,275.66664875,137.24485625,233.834602646115,417.618182898096,246.449633672931,2006,130,257
"2007-2008",241,164,151,127,97,86,49,3,0,0,0,32.470038186301,74.3145833333333,32.0591666666667,68.6664528411961,171.722943333333,59.3391370833333,178.016469089995,387.034045905104,187.76613915231,2007,137,262
"2008-2009",270,165,142,132,123,66,43,10,1,0,0,28.7763811728395,81.41875,25.649375,62.586270617284,182.12228875,54.10048,157.849379021118,389.779973408657,183.955970541766,2008,147,244
"2009-2010",226,208,188,146,136,123,69,37,5,0,0,45.2831170642555,82.7441666666667,52.5383333333333,110.988010522717,189.5867775,126.329046875,241.021778552803,375.202640650388,228.898893382115,2009,136,276
"2010-2011",238,189,178,136,122,114,94,62,46,30,6,45.1246541225186,109.66875,45.3435416666667,118.604029648414,309.037414583333,103.295563125,210.696315017458,572.276957547896,241.681973713695,2010,134,262
"2011-2012",218,172,164,144,69,53,42,33,5,0,0,35.4598064585826,89.6604166666667,34.0547916666667,83.421039355139,216.36026,71.8438420833334,202.337512144443,446.218827850576,223.953057553351,2011,131,279
"2012-2013",218,198,195,180,171,153,128,90,63,40,8,61.0690784137748,104.516666666667,64.375,147.695906757163,311.76545875,146.993220833334,219.36758865823,553.047034302921,217.733650293803,2012,128,277
"2013-2014",234,202,194,193,182,166,156,131,102,36,22,64.3087766319831,116.7375,75.2310416666666,161.469876134724,329.4143025,187.951242708333,233.009666636036,405.374288292778,235.440230513283,2013,141,273
"2014-2015",247,176,163,142,132,93,56,44,26,3,0,37.5185920172505,91.8345833333333,41.0679166666667,91.2938312021064,224.90274,90.5248120833333,190.888863742024,409.287642378292,216.094060092184,2014,132,251
"2015-2016",223,155,148,139,120,84,52,23,1,0,0,36.6404169916163,83.52125,45.8854166666667,77.1555102242965,198.754471666667,87.7560979166667,166.030329920822,347.536978484449,189.935574644915,2015,105,248
"2016-2017",215,200,179,135,109,75,46,29,8,0,0,40.6534447253118,87.2241666666667,40.1779166666667,96.9000772833671,222.14783375,81.6444641666667,222.056647280252,473.183322320026,207.194307660379,2016,127,279
"2017-2018",241,190,182,154,118,97,82,78,53,38,19,46.0293325666005,116.179166666667,39.5133333333333,110.491867263591,306.237384583333,90.1493658333333,204.858062555788,417.008760930918,230.062671547449,2017,131,256
"2018-2019",250,235,224,207,191,175,151,112,56,47,29,62.3720429710145,110.98,66.6245833333333,174.336374271957,304.428867916667,186.09687375,270.881901934109,526.140982424347,253.086008376556,2018,139,255
"2019-2020",235,216,184,180,176,148,117,85,64,42,15,57.4071576472402,119.256666666667,59.92125,137.03851284798,298.989650416667,132.131562083333,224.312470087292,587.470605316105,224.526975864928,2019,138,269
"2020-2021",226,200,199,194,186,168,140,95,36,6,0,59.0674347505451,92.6370833333333,68.2097916666667,151.118547504569,247.228815,175.449222083333,243.077812782433,385.10775156369,255.399374728534,2020,145,286
"2021-2022",216,176,151,139,123,70,36,22,5,0,0,38.1102539586688,81.5541666666667,44.7920833333334,89.687495319629,202.33647625,94.5639675,205.326024434782,409.745271376884,202.577565646874,2021,134,284
"2022-2023",200,181,180,165,134,122,89,65,56,1,0,54.5525523550725,90.5516666666667,56.58875,121.713115708514,235.456209166667,120.03415875,202.423925411844,372.165577074299,209.746083727007,2022,128,294
"2023-2024",246,200,173,153,134,121,106,78,40,16,1,45.701297057264,100.5275,45.6058333333333,108.487412318399,253.357420416667,96.8080252083333,190.25251681591,412.893009576144,192.803383982368,2023,152,272
